YEAR,MONTH,DAY,HOUR,NO2
2018,02,11,12,6.3
2018,02,11,13,12.8
2018,02,11,14,9.9
2018,02,11,15,7.8
2018,02,11,16,12.0
2018,02,11,17,17.8
2018,02,11,18,14.3
2018,02,11,19,21.2
2018,02,11,20,16.2
2018,02,11,21,17.0
2018,02,11,22,12.4
2018,02,11,23,11.7
2018,02,12,00,12.6
2018,02,12,01,10.7
2018,02,12,02,13.9
2018,02,12,03,6.9
2018,02,12,04,10.9
2018,02,12,05,29.0
2018,02,12,06,12.6
2018,02,12,07,13.0
2018,02,12,08,11.5
2018,02,12,09,12.0
2018,02,12,10,9.2
2018,02,12,11,15.7
2018,02,12,12,18.5
2018,02,12,13,21.0
2018,02,12,14,16.2
2018,02,12,15,18.3
2018,02,12,16,27.7
2018,02,12,17,37.6
2018,02,12,18,42.4
2018,02,12,19,42.0
2018,02,12,20,40.7
2018,02,12,21,44.3
2018,02,12,22,39.3
2018,02,12,23,26.4
2018,02,13,00,30.2
2018,02,13,01,25.0
2018,02,13,02,23.7
2018,02,13,03,23.1
2018,02,13,04,28.7
2018,02,13,05,39.9
2018,02,13,06,44.3
2018,02,13,07,47.9
2018,02,13,08,49.7
2018,02,13,09,40.9
2018,02,13,10,36.9
2018,02,13,11,38.6
2018,02,13,12,34.0
2018,02,13,13,22.3
2018,02,13,14,20.4
2018,02,13,15,21.6
2018,02,13,16,40.5
2018,02,13,17,35.7
2018,02,13,18,38.0
2018,02,13,19,43.4
2018,02,13,20,33.4
2018,02,13,21,39.9
2018,02,13,22,42.0
2018,02,13,23,42.4
2018,02,14,00,43.9
2018,02,14,01,33.8
2018,02,14,02,31.7
2018,02,14,03,34.0
2018,02,14,04,40.7
2018,02,14,05,33.6
2018,02,14,06,37.6
2018,02,14,07,43.4
2018,02,14,08,39.7
2018,02,14,09,37.6
2018,02,14,10,26.5
2018,02,14,11,26.4
2018,02,14,12,31.1
2018,02,14,13,36.9
2018,02,14,14,31.3
2018,02,14,15,38.0
2018,02,14,16,47.2
2018,02,14,17,29.2
2018,02,14,18,27.9
2018,02,14,19,27.7
2018,02,14,20,16.6
2018,02,14,21,24.6
2018,02,14,22,20.2
2018,02,14,23,16.4
2018,02,15,00,20.8
2018,02,15,01,14.3
2018,02,15,02,18.3
2018,02,15,03,11.7
2018,02,15,04,20.2
2018,02,15,05,26.9
2018,02,15,06,27.3
2018,02,15,07,31.9
2018,02,15,08,24.8
2018,02,15,09,30.9
